[0mroot [8] fit_s->Print([D[0m[38;5;83m[1m()
[0m
  RooFitResult: minimized FCN value: -0.000133455, estimated distance to minimum: 8.04754e-05
                covariance matrix quality: Full, accurate covariance matrix
                Status : MINIMIZE=0 HESSE=0 

    Floating Parameter    FinalValue +/-  Error   
  --------------------  --------------------------
                BR_hbb    1.4796e-02 +/-  1.00e+00
        CMS_eff_ttWl_e    1.1732e+00 +/-  4.90e-01
        CMS_eff_ttWl_m    2.9211e-02 +/-  9.90e-01
       CMS_jesHEMIssue   -3.2215e-02 +/-  1.01e+00
  CMS_res_j_barrel_2016    4.8019e-02 +/-  7.90e-01
  CMS_res_j_barrel_2016APV   -1.6709e-01 +/-  1.09e+00
  CMS_res_j_barrel_2017    1.7512e-01 +/-  1.11e+00
  CMS_res_j_barrel_2018   -1.3418e-01 +/-  9.45e-01
  CMS_res_j_endcap1_2016    3.4632e-02 +/-  9.80e-01
  CMS_res_j_endcap1_2016APV   -6.9294e-02 +/-  8.56e-01
  CMS_res_j_endcap1_2017   -9.7249e-03 +/-  9.26e-01
  CMS_res_j_endcap1_2018   -5.0726e-01 +/-  1.04e+00
  CMS_res_j_endcap2highpt_2016    1.9179e-06 +/-  1.00e+00
  CMS_res_j_endcap2highpt_2016APV    1.0060e-06 +/-  1.00e+00
  CMS_res_j_endcap2highpt_2017    0.0000e+00 +/-  1.00e+00
  CMS_res_j_endcap2highpt_2018    2.1307e-06 +/-  1.00e+00
  CMS_res_j_endcap2lowpt_2016    1.9179e-06 +/-  1.00e+00
  CMS_res_j_endcap2lowpt_2016APV    1.0060e-06 +/-  1.00e+00
  CMS_res_j_endcap2lowpt_2017    0.0000e+00 +/-  1.00e+00
  CMS_res_j_endcap2lowpt_2018    2.1307e-06 +/-  1.00e+00
  CMS_res_j_forwardhighpt_2016    1.9179e-06 +/-  1.00e+00
  CMS_res_j_forwardhighpt_2016APV    1.0060e-06 +/-  1.00e+00
  CMS_res_j_forwardhighpt_2017    0.0000e+00 +/-  1.00e+00
  CMS_res_j_forwardhighpt_2018    2.1307e-06 +/-  1.00e+00
  CMS_res_j_forwardlowpt_2016    1.9179e-06 +/-  1.00e+00
  CMS_res_j_forwardlowpt_2016APV    1.0060e-06 +/-  1.00e+00
  CMS_res_j_forwardlowpt_2017    0.0000e+00 +/-  1.00e+00
  CMS_res_j_forwardlowpt_2018    2.1307e-06 +/-  1.00e+00
  CMS_scale_j_Absolute   -9.5301e-02 +/-  1.37e+00
  CMS_scale_j_Absolute_2016    1.3700e-01 +/-  9.18e-01
  CMS_scale_j_Absolute_2016APV   -3.8825e-02 +/-  9.44e-01
  CMS_scale_j_Absolute_2017    2.4192e-03 +/-  8.69e-01
  CMS_scale_j_Absolute_2018   -4.0003e-01 +/-  8.99e-01
     CMS_scale_j_BBEC1   -4.7199e-02 +/-  7.12e-01
  CMS_scale_j_BBEC1_2016    1.5229e-01 +/-  9.64e-01
  CMS_scale_j_BBEC1_2016APV   -6.0249e-02 +/-  9.48e-01
  CMS_scale_j_BBEC1_2017    7.3178e-02 +/-  9.24e-01
  CMS_scale_j_BBEC1_2018   -1.2017e-01 +/-  9.54e-01
       CMS_scale_j_EC2    5.0545e-06 +/-  1.00e+00
  CMS_scale_j_EC2_2016    1.9179e-06 +/-  1.00e+00
  CMS_scale_j_EC2_2016APV    1.0060e-06 +/-  1.00e+00
  CMS_scale_j_EC2_2017    0.0000e+00 +/-  1.00e+00
  CMS_scale_j_EC2_2018    2.1307e-06 +/-  1.00e+00
  CMS_scale_j_FlavorPureBottom    4.9967e-05 +/-  9.44e-01
  CMS_scale_j_FlavorPureCharm   -6.4641e-03 +/-  1.03e+00
  CMS_scale_j_FlavorPureGluon    8.6651e-01 +/-  7.39e-01
  CMS_scale_j_FlavorPureQuark    6.2412e-02 +/-  8.51e-01
        CMS_scale_j_HF    5.0545e-06 +/-  1.00e+00
   CMS_scale_j_HF_2016    1.9179e-06 +/-  1.00e+00
  CMS_scale_j_HF_2016APV    1.0060e-06 +/-  1.00e+00
   CMS_scale_j_HF_2017    0.0000e+00 +/-  1.00e+00
   CMS_scale_j_HF_2018    2.1307e-06 +/-  1.00e+00
  CMS_scale_j_RelativeBal    1.3734e-01 +/-  9.55e-01
  CMS_scale_j_RelativeSample_2016    3.1463e-01 +/-  9.23e-01
  CMS_scale_j_RelativeSample_2016APV    6.2236e-02 +/-  1.06e+00
  CMS_scale_j_RelativeSample_2017    1.8983e-02 +/-  8.15e-01
  CMS_scale_j_RelativeSample_2018    6.8773e-01 +/-  7.84e-01
  CMS_ttWl16APV_trigger_3l   -5.2352e-02 +/-  9.65e-01
  CMS_ttWl16APV_trigger_ee    3.9332e-03 +/-  9.99e-01
  CMS_ttWl16APV_trigger_em    5.6225e-02 +/-  9.99e-01
  CMS_ttWl16APV_trigger_mm   -2.5703e-02 +/-  1.00e+00
  CMS_ttWl16_L1PreFiring   -2.7081e-03 +/-  9.52e-01
  CMS_ttWl16_trigger_3l   -2.7308e-01 +/-  9.66e-01
  CMS_ttWl16_trigger_ee    9.2648e-02 +/-  9.98e-01
  CMS_ttWl16_trigger_em   -2.4751e-02 +/-  1.00e+00
  CMS_ttWl16_trigger_mm    6.1585e-02 +/-  9.99e-01
  CMS_ttWl17_L1PreFiring   -2.9695e-01 +/-  9.82e-01
  CMS_ttWl17_trigger_3l    6.5772e-01 +/-  9.59e-01
  CMS_ttWl17_trigger_ee   -1.3364e-01 +/-  9.98e-01
  CMS_ttWl17_trigger_em   -8.5564e-02 +/-  9.99e-01
  CMS_ttWl17_trigger_mm   -6.1376e-02 +/-  9.99e-01
  CMS_ttWl18_trigger_3l   -2.2233e-01 +/-  9.54e-01
  CMS_ttWl18_trigger_ee   -5.5649e-02 +/-  1.00e+00
  CMS_ttWl18_trigger_em    1.0097e-02 +/-  9.99e-01
  CMS_ttWl18_trigger_mm    6.9295e-02 +/-  9.99e-01
        CMS_ttWl_Convs    3.2226e-01 +/-  9.52e-01
     CMS_ttWl_EWK_btag   -1.1138e-02 +/-  9.70e-01
      CMS_ttWl_EWK_jet    9.3061e-01 +/-  4.31e-01
       CMS_ttWl_FRe_be    7.7860e-02 +/-  9.81e-01
     CMS_ttWl_FRe_norm    1.1890e+00 +/-  7.56e-01
       CMS_ttWl_FRe_pt    7.6149e-02 +/-  1.09e+00
       CMS_ttWl_FRm_be    5.1582e-01 +/-  8.61e-01
     CMS_ttWl_FRm_norm    1.7570e-01 +/-  6.81e-01
       CMS_ttWl_FRm_pt    3.9378e-01 +/-  8.46e-01
           CMS_ttWl_QF   -2.7840e-01 +/-  8.61e-01
        CMS_ttWl_Rares    3.3144e-01 +/-  9.63e-01
      CMS_ttWl_TTZ_lnU    1.2096e-01 +/-  1.26e-01
  CMS_ttWl_UnclusteredEn    5.0545e-06 +/-  1.00e+00
          CMS_ttWl_VVV    4.8619e-01 +/-  1.10e+00
       CMS_ttWl_WZ_lnU   -2.6881e-01 +/-  1.00e-01
       CMS_ttWl_ZZ_lnU    1.1399e-02 +/-  1.03e-01
      CMS_ttWl_btag_HF   -4.1106e-01 +/-  9.54e-01
  CMS_ttWl_btag_HF_2016    3.0745e-01 +/-  9.85e-01
  CMS_ttWl_btag_HF_2016APV   -1.8243e-01 +/-  1.01e+00
  CMS_ttWl_btag_HF_2017   -4.3802e-01 +/-  9.43e-01
  CMS_ttWl_btag_HF_2018   -3.2346e-02 +/-  9.75e-01
      CMS_ttWl_btag_LF   -1.0586e-01 +/-  8.48e-01
  CMS_ttWl_btag_LF_2016    1.0030e+00 +/-  9.59e-01
  CMS_ttWl_btag_LF_2016APV   -5.2257e-01 +/-  9.57e-01
  CMS_ttWl_btag_LF_2017   -7.0351e-01 +/-  9.22e-01
  CMS_ttWl_btag_LF_2018    1.5276e-01 +/-  9.32e-01
       CMS_ttWl_pileup   -4.5792e-01 +/-  8.61e-01
          CMS_ttWl_tZq    6.6692e-01 +/-  9.95e-01
  CMS_ttWl_thu_shape_Rares_muF    1.2058e-01 +/-  1.01e+00
  CMS_ttWl_thu_shape_Rares_muR    1.6432e-01 +/-  9.62e-01
  CMS_ttWl_thu_shape_VVV_muF   -1.4473e-01 +/-  9.98e-01
  CMS_ttWl_thu_shape_VVV_muR   -1.8413e-02 +/-  1.00e+00
  CMS_ttWl_thu_shape_WZ_muF   -8.4977e-02 +/-  9.43e-01
  CMS_ttWl_thu_shape_WZ_muR    1.8425e-02 +/-  8.99e-01
  CMS_ttWl_thu_shape_ZZ_muF   -6.3591e-02 +/-  1.06e+00
  CMS_ttWl_thu_shape_ZZ_muR    2.8177e-02 +/-  1.06e+00
  CMS_ttWl_thu_shape_tHW_muF   -7.0913e-05 +/-  1.00e+00
  CMS_ttWl_thu_shape_tHW_muR    0.0000e+00 +/-  1.00e+00
  CMS_ttWl_thu_shape_tHq_muF   -1.0336e-03 +/-  1.00e+00
  CMS_ttWl_thu_shape_tHq_muR    1.2075e-04 +/-  1.00e+00
  CMS_ttWl_thu_shape_tZq_muF    2.2298e-02 +/-  1.01e+00
  CMS_ttWl_thu_shape_tZq_muR   -2.3137e-02 +/-  1.02e+00
  CMS_ttWl_thu_shape_ttH_muF   -4.3038e-02 +/-  1.00e+00
  CMS_ttWl_thu_shape_ttH_muR   -1.7912e-02 +/-  9.98e-01
  CMS_ttWl_thu_shape_ttVV_muF   -9.5558e-04 +/-  1.00e+00
  CMS_ttWl_thu_shape_ttVV_muR   -8.2477e-06 +/-  1.00e+00
  CMS_ttWl_thu_shape_ttW_muF    9.1900e-02 +/-  9.90e-01
  CMS_ttWl_thu_shape_ttW_muR    9.9090e-02 +/-  9.59e-01
  CMS_ttWl_thu_shape_ttZ_muF   -4.1024e-01 +/-  9.49e-01
  CMS_ttWl_thu_shape_ttZ_muR    1.9813e-01 +/-  8.90e-01
         CMS_ttWl_ttVV    2.1274e-02 +/-  1.00e+00
                   FSR   -3.1859e-01 +/-  9.06e-01
               ISR_tZq    9.9692e-02 +/-  1.00e+00
               ISR_ttH   -5.4446e-03 +/-  9.93e-01
               ISR_ttW    2.9180e-02 +/-  1.00e+00
               ISR_ttZ    6.9057e-02 +/-  8.77e-01
       QCDpdf_ACCEPT_0   -8.1877e-03 +/-  1.00e+00
       QCDpdf_ACCEPT_1   -2.9061e-03 +/-  1.00e+00
      QCDpdf_ACCEPT_10   -1.2793e-02 +/-  1.00e+00
     QCDpdf_ACCEPT_100   -8.0160e-03 +/-  1.00e+00
      QCDpdf_ACCEPT_11   -1.8263e-02 +/-  1.00e+00
      QCDpdf_ACCEPT_12    1.3986e-03 +/-  1.00e+00
      QCDpdf_ACCEPT_13   -6.8054e-03 +/-  1.00e+00
      QCDpdf_ACCEPT_14   -4.9875e-04 +/-  1.00e+00
      QCDpdf_ACCEPT_15   -2.3681e-02 +/-  1.00e+00
      QCDpdf_ACCEPT_16   -9.6563e-03 +/-  1.00e+00
      QCDpdf_ACCEPT_17   -9.5628e-03 +/-  1.00e+00
      QCDpdf_ACCEPT_18   -1.3764e-02 +/-  1.00e+00
      QCDpdf_ACCEPT_19   -1.3835e-02 +/-  9.99e-01
       QCDpdf_ACCEPT_2   -1.6104e-02 +/-  1.00e+00
      QCDpdf_ACCEPT_20   -1.1989e-02 +/-  1.00e+00
      QCDpdf_ACCEPT_21   -6.9481e-04 +/-  9.99e-01
      QCDpdf_ACCEPT_22   -1.6127e-02 +/-  1.00e+00
      QCDpdf_ACCEPT_23   -7.2743e-03 +/-  1.00e+00
      QCDpdf_ACCEPT_24    9.2019e-05 +/-  1.00e+00
      QCDpdf_ACCEPT_25   -2.7963e-02 +/-  1.00e+00
      QCDpdf_ACCEPT_26   -4.5683e-03 +/-  1.00e+00
      QCDpdf_ACCEPT_27   -2.0565e-02 +/-  1.00e+00
      QCDpdf_ACCEPT_28   -2.0208e-03 +/-  1.00e+00
      QCDpdf_ACCEPT_29   -3.9388e-02 +/-  9.99e-01
       QCDpdf_ACCEPT_3   -1.0873e-02 +/-  1.00e+00
      QCDpdf_ACCEPT_30   -2.4797e-02 +/-  1.00e+00
      QCDpdf_ACCEPT_31   -2.4818e-02 +/-  1.00e+00
      QCDpdf_ACCEPT_32   -4.5394e-03 +/-  1.00e+00
      QCDpdf_ACCEPT_33   -1.1390e-02 +/-  9.93e-01
      QCDpdf_ACCEPT_34   -1.7544e-02 +/-  1.00e+00
      QCDpdf_ACCEPT_35   -7.6886e-04 +/-  1.00e+00
      QCDpdf_ACCEPT_36   -1.8254e-02 +/-  1.00e+00
      QCDpdf_ACCEPT_37   -4.0471e-03 +/-  9.99e-01
      QCDpdf_ACCEPT_38   -7.7849e-03 +/-  1.00e+00
      QCDpdf_ACCEPT_39   -1.5082e-02 +/-  1.01e+00
       QCDpdf_ACCEPT_4   -4.4469e-03 +/-  9.98e-01
      QCDpdf_ACCEPT_40   -1.4364e-02 +/-  1.01e+00
      QCDpdf_ACCEPT_41   -3.1199e-02 +/-  1.00e+00
      QCDpdf_ACCEPT_42   -2.2757e-02 +/-  1.01e+00
      QCDpdf_ACCEPT_43    4.6485e-04 +/-  1.00e+00
      QCDpdf_ACCEPT_44   -5.8220e-03 +/-  1.00e+00
      QCDpdf_ACCEPT_45   -2.6273e-02 +/-  1.01e+00
      QCDpdf_ACCEPT_46   -3.0963e-02 +/-  1.01e+00
      QCDpdf_ACCEPT_47   -2.6233e-03 +/-  1.00e+00
      QCDpdf_ACCEPT_48    6.9757e-03 +/-  1.00e+00
      QCDpdf_ACCEPT_49   -1.1687e-02 +/-  1.00e+00
       QCDpdf_ACCEPT_5    9.7960e-03 +/-  1.00e+00
      QCDpdf_ACCEPT_50   -8.9163e-03 +/-  1.00e+00
      QCDpdf_ACCEPT_51    3.7101e-03 +/-  1.00e+00
